"area","list","name","url","comments","attachments","links"
"chat-ai-messaging","На проверке","ТЗ Чат базовый","https://trello.com/c/5vc1MqUB","0","2","4"
"chat-ai-messaging","На проверке","Сформировать список гипотез, которые могут работать по формату AI-ассистента на нашей платформе","https://trello.com/c/RpSO9XLQ","1","0","1"
"general","На проверке","Примеры админок","https://trello.com/c/PegKaCje","10","0","5"
"general","На проверке","Bans Advanced","https://trello.com/c/cvU1QRIK","3","7","8"
"chat-ai-messaging","На проверке","ТЗ для доработок шаблона H","https://trello.com/c/J9hGbu0m","3","0","2"
"general","На проверке","Сформировать тарифные планы для H и для S","https://trello.com/c/HhB8ES6c","2","0","1"
"chat-ai-messaging","На проверке","ТЗ для доработок шаблона S","https://trello.com/c/ipujgjLt","2","0","2"
"general","План на сентябрь","Отчет за сентябрь","https://trello.com/c/K42LINje","0","0","18"
"chat-ai-messaging","Архив (Выполнено)","Работа с дизайнером по страницам H","https://trello.com/c/5npGPUSO","3","0","2"
"design-frontend","Архив (Выполнено)","Макет главной страницы S","https://trello.com/c/kmkP67pK","10","5","21"
"chat-ai-messaging","Архив (Выполнено)","Описать тезисно платный чат как в небула (из реестра задач)","https://trello.com/c/qfz50mtc","4","0","1"
"general","Архив (Выполнено)","ТЗ по управлению премиум-городов (из реестра)","https://trello.com/c/F8z2XQdp","4","0","2"
"email-crm-notifications","Архив (Выполнено)","Разобраться как работает система email-рассылки (из реестра)","https://trello.com/c/EkF3EKYk","4","0","1"
"legal-docs","Архив (Выполнено)","Перепроверить политики и тд","https://trello.com/c/IJpuYbJg","4","0","9"
"general","Архив (Выполнено)","Сформировать дорожную карту","https://trello.com/c/D3O2PNch","3","0","1"
"design-frontend","Архив (Выполнено)","Сформировать ТЗ для дизайнера по недостающим страницам S","https://trello.com/c/yPVWOJSF","1","1","1"
"design-frontend","Архив (Выполнено)","Макеты недостающих страниц S","https://trello.com/c/XZQMssaM","7","7","7"
"nebula-strategy","Архив (Выполнено)","Регистрация на сайтах типа небулы","https://trello.com/c/sDaz0HWN","8","0","9"
"analytics-seo","Архив (Выполнено)","ТЗ по SEO (из реестра)","https://trello.com/c/UIh5ipt1","7","0","1"
"general","Архив (Выполнено)","Готовый предложенный стикерпак","https://trello.com/c/2gmwj5dL","6","2","28"
"chat-ai-messaging","Архив (Выполнено)","Окончательное ТЗ по чат боту!","https://trello.com/c/jhP7Mbpg","4","0","2"
"design-frontend","Архив (Выполнено)","Найти верстальщика для Главной страницы S","https://trello.com/c/uMDT6uPU","2","0","2"
"general","Архив (Выполнено)","Запустить регистрацию на сайтах знакомств в режиме агента","https://trello.com/c/Ibq7eWBK","6","0","2"
"design-frontend","Архив (Выполнено)","Дизайн и функционал сторисов.","https://trello.com/c/0KaDDgWe","11","6","8"
"general","Архив (Выполнено)","ТЗ по добавлению видео в группы (из реестра)","https://trello.com/c/Zpf4j7Q7","6","0","1"
"general","Архив (Выполнено)","ТЗ по добавлению видео в сторис (из реестра)","https://trello.com/c/nSHCZrCs","7","0","0"
"general","Архив (Выполнено)","Тестирование сайта Юдейт по премиум","https://trello.com/c/lngbLfNo","8","0","1"
"general","Архив (Выполнено)","Регистрация на JapanCupid.com с Румынии","https://trello.com/c/5m8rJJNp","2","0","3"
"general","Архив (Выполнено)","Список сайтов знакомств","https://trello.com/c/ftSfC62I","4","0","50"
"general","Архив (Выполнено)","ИИ для псевдо KYC","https://trello.com/c/2HfUQVZU","2","1","1"
"general","Архив (Выполнено)","Приведение всех полей пользователей для переноса","https://trello.com/c/M8UzwECf","1","0","0"
"chat-ai-messaging","Не актуально","ТЗ чат продвинутая версия","https://trello.com/c/Jq50a4t8","3","2","2"
"chat-ai-messaging","Полка (Когда-нибудь)","ТЗ по платному чату (Алексей)","https://trello.com/c/XBYHgjjU","8","0","1"
"chat-ai-messaging","Полка (Когда-нибудь)","Разработать концепцию логотипа для NEBULA","https://trello.com/c/q2ifBp5P","4","0","0"
"chat-ai-messaging","Полка (Когда-нибудь)","Готовый чат-бот на нашем сервере","https://trello.com/c/cfEGpKii","0","0","0"
"general","Полка (Когда-нибудь)","Расписать несколько ролей для Тестирования для Игоря","https://trello.com/c/Si6hPnEk","1","0","0"
"general","Полка (Когда-нибудь)","Описать систему начислений партнерам за действия","https://trello.com/c/fGgovEA0","7","0","2"
"general","Полка (Когда-нибудь)","ТЗ по банам на сайте","https://trello.com/c/mxUjURrM","2","0","0"
"nebula-strategy","Полка (Когда-нибудь)","Nebula. Подключ [redacted] платежки","https://trello.com/c/KOVrbkGb","0","0","0"
"nebula-strategy","Полка (Когда-нибудь)","Nebula. Создание социальных сетей","https://trello.com/c/VtIfLjng","0","0","0"
"chat-ai-messaging","Полка (Когда-нибудь)","Развернуть чат боты","https://trello.com/c/0GdHnH4S","6","1","5"
"chat-ai-messaging","Полка (Когда-нибудь)","Прототип чат-бота S, ТЗ по доработкам","https://trello.com/c/GTEID3Q7","1","1","1"
"general","Полка (Когда-нибудь)","ТЗ по платным альбомам (из реестра)","https://trello.com/c/so5TDVgc","1","0","1"
"general","Полка (Когда-нибудь)","Список названия Логов","https://trello.com/c/XrLLdaKF","0","0","0"
"chat-ai-messaging","Полка (Когда-нибудь)","ТЗ чат-бота по S (финал)","https://trello.com/c/DGaGZWpm","7","1","4"
"chat-ai-messaging","Полка (Когда-нибудь)","Программист тг-бота","https://trello.com/c/1rR0JN0f","5","0","2"
"design-frontend","Полка (Когда-нибудь)","Заверстать лендинг S","https://trello.com/c/qWEPb34Z","5","0","3"
"general","Полка (Когда-нибудь)","Квис-гороскоп + спецпредложение","https://trello.com/c/yBeq6u8C","0","1","2"
"general","План на июль","Отчет за июль","https://trello.com/c/q6oLbD5V","0","0","43"
"general","План на июль","ТЗ обрезка фото под шаблон (из реестра)","https://trello.com/c/pxVeimmh","0","0","1"
"general","План на август","Отчет за август","https://trello.com/c/lRI031kf","0","0","10"
"general","План на октябрь","Отчет за октябрь","https://trello.com/c/0p1anQ7u","0","0","14"
"general","План на октябрь","ТЗ по городам/странам","https://trello.com/c/tnpi1k6Q","0","0","0"
"general","План на ноябрь","Отчет за декабрь","https://trello.com/c/LKpwjzlu","0","0","14"
"general","План на ноябрь","Внедрения кропа на YouDate","https://trello.com/c/sDxIjOFK","5","1","2"
"general","План на ноябрь","Интегрировать сторис, загрузку видео","https://trello.com/c/OPeSbkLq","7","2","2"
"general","План на ноябрь","ТЗ регистрация анкет из админки YouDate","https://trello.com/c/SclXGnR0","4","1","1"
"general","План на ноябрь","Регистрация анкет из админки YouDate (Игорь)","https://trello.com/c/IY1b7wwq","0","1","1"
"chat-ai-messaging","План на ноябрь","Разработать копию сайта NEBULA на Yii2","https://trello.com/c/dEyVMOCG","5","1","2"
"nebula-strategy","План на ноябрь","Составить концептуальный план по продвижению проекта NEBULA","https://trello.com/c/oc253ky4","6","0","0"
"general","План на ноябрь","Таск-менеджер","https://trello.com/c/TZoWvgMi","3","0","3"
"general","План на ноябрь","ТЗ по городам/странам","https://trello.com/c/zFhiX6PL","10","8","11"
"general","План на ноябрь","ТЗ По Явным/Теневым модерациям разного рода контенте","https://trello.com/c/6S29imYy","3","1","1"
"general","План на ноябрь","Второй прогер на проект (Алексей)","https://trello.com/c/M509CweO","4","4","5"
"chat-ai-messaging","План на ноябрь","Разработка дизайна сайта NEBULA","https://trello.com/c/IZI4uF30","13","3","5"
"general","План на ноябрь","Найти специалиста для ведения инсты","https://trello.com/c/nG3XJU9C","13","3","4"
"general","План на декабрь","отчет за декабрь","https://trello.com/c/zyLPsE3G","0","0","7"
"general","План на декабрь","Группа для поиска прогера","https://trello.com/c/IbOCd3ud","2","1","1"
"nebula-strategy","План на декабрь","Nebula. УТП","https://trello.com/c/vs4Woz7a","1","0","0"
"general","План на январь","отчет за январь","https://trello.com/c/bSQ9qBix","0","0","9"
"nebula-strategy","План на январь","Сгенерировать и согласовать со мной Аваторку для Астрологов, которые потом продолжит делать Ксения.","https://trello.com/c/HepT7aMe","1","0","0"
"general","План на январь","Стратегия","https://trello.com/c/E59YVnJA","0","0","0"
"nebula-strategy","План на январь","Nebula. Финансовая модель","https://trello.com/c/g7Wm6P6J","1","0","0"
"nebula-strategy","План на январь","Nebula. Маркетинг и привлечение клиентов","https://trello.com/c/smi5sevk","1","1","1"
"general","План на февраль","Отчет за февраль","https://trello.com/c/U99ISVul","0","0","8"
"chat-ai-messaging","План на февраль","Чат экстра","https://trello.com/c/SC7pFtDm","0","0","0"
"chat-ai-messaging","План на февраль","Сделать e-mail шаблоны","https://trello.com/c/L3BD80DK","0","0","2"
"general","План на март","Отчет за март","https://trello.com/c/487cU0ZP","0","0","9"
"expert-ops-training","План на март","ТЗ по механика контроля рабочего времени экспертов","https://trello.com/c/eA0PyGKc","2","0","0"
"nebula-strategy","План на март","Описание функционала по проекту nebula / pbexpert.pro","https://trello.com/c/vg9MhRVz","1","0","2"
"nebula-strategy","План на март","Пробная верстка дизайна страниц Nebula","https://trello.com/c/uLoe5Euq","3","1","4"
"expert-ops-training","План на март","ТЗ регистрации эксперта","https://trello.com/c/YK8WzA8i","4","0","1"
"nebula-strategy","План на март","Аудит готовых дизайн-макетов Nebula","https://trello.com/c/gmCtSSsm","1","1","2"
"chat-ai-messaging","План на март","Концепт работы сайта по предоплаченным картам","https://trello.com/c/K1tPYkKy","4","0","1"
"general","План на март","2 дня на Ксению","https://trello.com/c/DMozTCVN","0","0","0"
"general","План на март","2 дня на Игоря","https://trello.com/c/grSABg3C","0","0","0"
"chat-ai-messaging","План на апрель","AI-ассистент по переписчикам","https://trello.com/c/ZsOCixVF","1","0","0"
"general","План на апрель","Отчет за апрель","https://trello.com/c/SajoWd6G","0","0","12"
"chat-ai-messaging","План на апрель","ТЗ для продвинутого платного чата 2.0","https://trello.com/c/eTPwucCg","0","3","5"
"nebula-strategy","План на апрель","Верстка 5 страниц дизайн-макетов Nebula","https://trello.com/c/LlZWg03H","0","1","2"
"general","План на апрель","Выбрать гипотезу-проект для mvp-запуска","https://trello.com/c/JuHpUYsy","1","0","0"
"general","План на апрель","Проверка гипотезы / валидация","https://trello.com/c/ZwaxxfU7","0","0","1"
"general","План на апрель","Внедрение Codex в Игоря","https://trello.com/c/FqIXJa1T","1","0","0"
"chat-ai-messaging","План на апрель","Доработка по юридиеским вопросам","https://trello.com/c/ZjzlDJnF","0","1","2"
"finance-payments","План на апрель","1.3. Финансовая модель","https://trello.com/c/4hV0eVRd","1","19","19"
"general","План на апрель","2 дня на Ксению","https://trello.com/c/EwJQvLq3","0","0","0"
"general","План на апрель","2 дня на Игоря","https://trello.com/c/coRkZtVW","0","0","0"
"general","План на апрель","Детектор ИИ текстов для Ксении","https://trello.com/c/GP2CEfXt","1","0","1"
"chat-ai-messaging","План на апрель","Необходимо продумать дизайн-макет станицы чата в ЛК (Небула)","https://trello.com/c/kc6DFwoU","0","2","4"
"chat-ai-messaging","План на май","Продумать алгоритм работу с учетом Codex","https://trello.com/c/RrLjz3FO","2","0","0"
"chat-ai-messaging","План на май","Список доработок для Chat Advance","https://trello.com/c/YyUljXJ0","1","1","4"
"general","План на май","MVP для тестирование гипотезы (PreSale)","https://trello.com/c/dNbWGDkm","1","0","2"
"general","План на май","ИИ-тестировщик","https://trello.com/c/EsBbyMOL","1","0","1"
"general","План на май","Аудит функционала сайта","https://trello.com/c/8aa6yCgW","0","0","0"
"analytics-seo","План на май","ТЗ по детальнйо аналитике","https://trello.com/c/LU7bhqD1","0","0","1"
"general","План на май","ТЗ по ролям админ-панели","https://trello.com/c/4nzfjUBq","0","0","1"
"general","План на май","Скрипт для загрузки текстов на сайт Confideline","https://trello.com/c/YVFB8NoL","0","0","3"
"design-frontend","План на май","Новый макет страны / города","https://trello.com/c/PrkrhWqN","0","0","2"
"general","План на Июнь","Внедрение Codex plan и Codex PM","https://trello.com/c/gJnFd2wT","0","0","0"
"design-frontend","План на Июнь","Прогнать все макеты готовых ТЗ через Codex","https://trello.com/c/awgleR9M","0","10","11"
"general","План на Июнь","Продумать ЗП для сотрудников","https://trello.com/c/bNsEmcDz","0","0","0"
"chat-ai-messaging","План на Июнь","Описать регламент работы на основе Nebula / PbExpert","https://trello.com/c/oZYN15XV","0","0","0"
"email-crm-notifications","План на Июнь","Email tempates","https://trello.com/c/e8aFOO8G","0","0","0"
