"list","name","url","closed","hasUpdateLabel","descLength","checklists","checklistItems","attachments","comments","dateLastActivity"
"Стратегия","AI-ассистент по сводке диалога для экспертов и советы","https://trello.com/c/lj6vnWeG/259-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82-%D0%BF%D0%BE-%D1%81%D0%B2%D0%BE%D0%B4%D0%BA%D0%B5-%D0%B4%D0%B8%D0%B0%D0%BB%D0%BE%D0%B3%D0%B0-%D0%B4%D0%BB%D1%8F-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B8-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D1%8B","False","False","511","0","0","0","0","03.05.2026 18:26:55"
"Стратегия","AI-ассистент на сайт (сбор инфы)","https://trello.com/c/egrNDweI/261-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-%D1%81%D0%B1%D0%BE%D1%80-%D0%B8%D0%BD%D1%84%D1%8B","False","False","611","0","0","0","1","03.05.2026 18:26:57"
"Стратегия","1.0 Составление стратегии продвижении и рекламы","https://trello.com/c/W5Ov5djR/171-10-%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D0%B8-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B8-%D0%B8-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B","False","False","446","2","8","2","5","01.06.2026 16:38:04"
"Стратегия","1.1 Анализ рынка и целевой аудитории","https://trello.com/c/6VTMTt7b/208-11-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7-%D1%80%D1%8B%D0%BD%D0%BA%D0%B0-%D0%B8-%D1%86%D0%B5%D0%BB%D0%B5%D0%B2%D0%BE%D0%B9-%D0%B0%D1%83%D0%B4%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8","False","False","3074","1","6","0","1","04.02.2026 13:39:21"
"Стратегия","1.2. Анализ конкурентов","https://trello.com/c/zQW2Htac/213-12-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7-%D0%BA%D0%BE%D0%BD%D0%BA%D1%83%D1%80%D0%B5%D0%BD%D1%82%D0%BE%D0%B2","False","False","860","1","11","0","1","04.02.2026 13:42:00"
"Стратегия","1.4. Поиск и работа с астрологами","https://trello.com/c/Y5rPcPMI/214-14-%D0%BF%D0%BE%D0%B8%D1%81%D0%BA-%D0%B8-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B0%D0%BC%D0%B8","False","False","431","1","6","0","1","01.06.2026 16:38:04"
"Стратегия","1.5. Техническая часть","https://trello.com/c/K7Sn0ey2/215-15-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D1%87%D0%B0%D1%81%D1%82%D1%8C","False","False","866","1","7","0","2","01.06.2026 16:38:05"
"Стратегия","1.6. Юридические вопросы","https://trello.com/c/9mcDFqLL/216-16-%D1%8E%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B","False","False","908","0","0","0","2","16.04.2026 16:07:43"
"Стратегия","1.7. Маркетинг и привлечение клиентов","https://trello.com/c/VSVUXCqe/217-17-%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%B8%D0%BD%D0%B3-%D0%B8-%D0%BF%D1%80%D0%B8%D0%B2%D0%BB%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82%D0%BE%D0%B2","False","False","488","1","5","0","1","01.06.2026 16:38:05"
"Стратегия","Стратегия. Свод этапа 1","https://trello.com/c/r1VjcfBi/288-%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%8F-%D1%81%D0%B2%D0%BE%D0%B4-%D1%8D%D1%82%D0%B0%D0%BF%D0%B0-1","False","False","0","0","0","0","1","01.06.2026 16:38:05"
"Стратегия","2. Подготовительный этап","https://trello.com/c/YA7p0sIh/218-2-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D1%8D%D1%82%D0%B0%D0%BF","False","False","715","1","11","0","1","01.06.2026 16:38:06"
"Стратегия","3. Готовность MVP","https://trello.com/c/Mqfr0f8w/219-3-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BD%D0%BE%D1%81%D1%82%D1%8C-mvp","False","False","496","1","9","0","1","01.06.2026 16:38:06"
"Стратегия","4. Подготовка к запуску (параллельно с разработкой)","https://trello.com/c/ySCW17BG/220-4-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B0-%D0%BA-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D1%83-%D0%BF%D0%B0%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE-%D1%81-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%BE%D0%B9","False","False","531","1","7","0","1","01.06.2026 16:38:07"
"Стратегия","5. Запуск и первые продажи","https://trello.com/c/wIZiE0NL/221-5-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA-%D0%B8-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D0%B5-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B8","False","False","457","0","0","0","1","01.06.2026 16:38:07"
"Стратегия","6. Масштабирование и улучшение","https://trello.com/c/WNvUTUqx/222-6-%D0%BC%D0%B0%D1%81%D1%88%D1%82%D0%B0%D0%B1%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%B8-%D1%83%D0%BB%D1%83%D1%87%D1%88%D0%B5%D0%BD%D0%B8%D0%B5","False","False","375","0","0","0","0","17.12.2025 18:24:39"
