key,liveLabel,moduleRu,actionRu,meaning,routes,risk,paidChatNote,selectedOnRole2
messages-update,Сообщения-update,Сообщения,Изменение,"Список сообщений, conversation data, перевод, удаление, связь с user/profile views. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.","/admin/message/index, /admin/message/*",critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
messages-delete,Сообщения-delete,Сообщения,Удаление,"Список сообщений, conversation data, перевод, удаление, связь с user/profile views. Удаление или необратимые действия. Для операционных ролей давать осторожно.","/admin/message/index, /admin/message/*",critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
chat-all,Chat-all,Чат,Полный доступ к модулю,"Admin chat workspace: очереди, диалоги, отправка, перевод, удаление. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/message/chat,critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
photos-all,Фотографии-all,Фотографии,Полный доступ к модулю,"Фото пользователей: очередь, approve, private toggle, delete. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/photo/index,high,Модерация/support: давать по case/reason и логировать действия.,no
photos-view,Фотографии-view,Фотографии,Просмотр,"Фото пользователей: очередь, approve, private toggle, delete. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/photo/index,high,Модерация/support: давать по case/reason и логировать действия.,no
photos-update,Фотографии-update,Фотографии,Изменение,"Фото пользователей: очередь, approve, private toggle, delete. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.",/admin/photo/index,high,Модерация/support: давать по case/reason и логировать действия.,no
photos-delete,Фотографии-delete,Фотографии,Удаление,"Фото пользователей: очередь, approve, private toggle, delete. Удаление или необратимые действия. Для операционных ролей давать осторожно.",/admin/photo/index,critical,Модерация/support: давать по case/reason и логировать действия.,no
orders-all,Заказы-all,Заказы,Полный доступ к модулю,"Заказы, платежные записи, статусы оплаты/refund context. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.","/admin/order/index, /admin/order/view",critical,Финансовый контур: не смешивать с transcript/chat-доступом.,no
orders-view,Заказы-view,Заказы,Просмотр,"Заказы, платежные записи, статусы оплаты/refund context. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.","/admin/order/index, /admin/order/view",critical,Финансовый контур: не смешивать с transcript/chat-доступом.,no
balance_transaction-all,Balance transactions-all,Балансовые транзакции,Полный доступ к модулю,"Финансовые транзакции и начисления. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/balance-transaction/index,critical,Финансовый контур: не смешивать с transcript/chat-доступом.,no
balance_transaction-view,Balance transactions-view,Балансовые транзакции,Просмотр,"Финансовые транзакции и начисления. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/balance-transaction/index,critical,Финансовый контур: не смешивать с transcript/chat-доступом.,no
pages-all,Страницы-all,Страницы,Полный доступ к модулю,"Страницы сайта. В live-форме есть предупреждение про raw PHP risk. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.","/admin/page/index, /admin/page/save, /admin/page/create",critical,Raw PHP risk: не давать content role без отдельной защиты.,no
pages-view,Страницы-view,Страницы,Просмотр,"Страницы сайта. В live-форме есть предупреждение про raw PHP risk. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.","/admin/page/index, /admin/page/save, /admin/page/create",critical,Raw PHP risk: не давать content role без отдельной защиты.,no
pages-update,Страницы-update,Страницы,Изменение,Страницы сайта. В live-форме есть предупреждение про raw PHP risk. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,"/admin/page/index, /admin/page/save, /admin/page/create",critical,Raw PHP risk: не давать content role без отдельной защиты.,no
pages-delete,Страницы-delete,Страницы,Удаление,Страницы сайта. В live-форме есть предупреждение про raw PHP risk. Удаление или необратимые действия. Для операционных ролей давать осторожно.,"/admin/page/index, /admin/page/save, /admin/page/create",critical,Raw PHP risk: не давать content role без отдельной защиты.,no
help-all,Справка-all,Справка,Полный доступ к модулю,"Help categories/pages. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.","/admin/help/index, /admin/help/categories",high,Оценивать по роли и необходимости в paid chat lifecycle.,no
help-view,Справка-view,Справка,Просмотр,"Help categories/pages. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.","/admin/help/index, /admin/help/categories",medium,Оценивать по роли и необходимости в paid chat lifecycle.,no
help-update,Справка-update,Справка,Изменение,Help categories/pages. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,"/admin/help/index, /admin/help/categories",high,Оценивать по роли и необходимости в paid chat lifecycle.,no
help-delete,Справка-delete,Справка,Удаление,Help categories/pages. Удаление или необратимые действия. Для операционных ролей давать осторожно.,"/admin/help/index, /admin/help/categories",critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
news-all,Новости-all,Новости,Полный доступ к модулю,"Новости и публикации. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/news/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
news-view,Новости-view,Новости,Просмотр,"Новости и публикации. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/news/index,medium,Оценивать по роли и необходимости в paid chat lifecycle.,no
news-update,Новости-update,Новости,Изменение,Новости и публикации. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,/admin/news/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
news-delete,Новости-delete,Новости,Удаление,Новости и публикации. Удаление или необратимые действия. Для операционных ролей давать осторожно.,/admin/news/index,critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
languages-all,Языки-all,Языки,Полный доступ к модулю,"Языки, SEO translations, локализация. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.","/admin/language/list, /admin/language/*",high,Оценивать по роли и необходимости в paid chat lifecycle.,no
languages-view,Языки-view,Языки,Просмотр,"Языки, SEO translations, локализация. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.","/admin/language/list, /admin/language/*",high,Оценивать по роли и необходимости в paid chat lifecycle.,no
languages-update,Языки-update,Языки,Изменение,"Языки, SEO translations, локализация. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.","/admin/language/list, /admin/language/*",high,Оценивать по роли и необходимости в paid chat lifecycle.,no
languages-delete,Языки-delete,Языки,Удаление,"Языки, SEO translations, локализация. Удаление или необратимые действия. Для операционных ролей давать осторожно.","/admin/language/list, /admin/language/*",critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
reports-all,Жалобы-all,Жалобы,Полный доступ к модулю,"Жалобы/репорты пользователей. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/report/index,high,Модерация/support: давать по case/reason и логировать действия.,no
reports-view,Жалобы-view,Жалобы,Просмотр,"Жалобы/репорты пользователей. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/report/index,high,Модерация/support: давать по case/reason и логировать действия.,no
reports-update,Жалобы-update,Жалобы,Изменение,Жалобы/репорты пользователей. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,/admin/report/index,high,Модерация/support: давать по case/reason и логировать действия.,no
reports-delete,Жалобы-delete,Жалобы,Удаление,Жалобы/репорты пользователей. Удаление или необратимые действия. Для операционных ролей давать осторожно.,/admin/report/index,critical,Модерация/support: давать по case/reason и логировать действия.,no
verifications-all,Верификации-all,Верификации,Полный доступ к модулю,"Проверки/верификации пользователей. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/verification/index,high,Модерация/support: давать по case/reason и логировать действия.,no
verifications-view,Верификации-view,Верификации,Просмотр,"Проверки/верификации пользователей. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/verification/index,high,Модерация/support: давать по case/reason и логировать действия.,no
verifications-update,Верификации-update,Верификации,Изменение,Проверки/верификации пользователей. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,/admin/verification/index,high,Модерация/support: давать по case/reason и логировать действия.,no
verifications-delete,Верификации-delete,Верификации,Удаление,Проверки/верификации пользователей. Удаление или необратимые действия. Для операционных ролей давать осторожно.,/admin/verification/index,critical,Модерация/support: давать по case/reason и логировать действия.,no
gifts-all,Подарки-all,Подарки,Полный доступ к модулю,"Категории и элементы подарков, legacy gift module. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/gift/categories,high,"Технический gift-модуль, не часть paid chat ТЗ.",no
gifts-view,Подарки-view,Подарки,Просмотр,"Категории и элементы подарков, legacy gift module. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/gift/categories,medium,"Технический gift-модуль, не часть paid chat ТЗ.",no
gifts-update,Подарки-update,Подарки,Изменение,"Категории и элементы подарков, legacy gift module. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.",/admin/gift/categories,high,"Технический gift-модуль, не часть paid chat ТЗ.",no
gifts-delete,Подарки-delete,Подарки,Удаление,"Категории и элементы подарков, legacy gift module. Удаление или необратимые действия. Для операционных ролей давать осторожно.",/admin/gift/categories,critical,"Технический gift-модуль, не часть paid chat ТЗ.",no
bans-all,Баны-all,Баны,Полный доступ к модулю,"Блокировки пользователей. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/ban/index,high,Модерация/support: давать по case/reason и логировать действия.,no
bans-view,Баны-view,Баны,Просмотр,"Блокировки пользователей. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/ban/index,high,Модерация/support: давать по case/reason и логировать действия.,no
bans-update,Баны-update,Баны,Изменение,Блокировки пользователей. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,/admin/ban/index,high,Модерация/support: давать по case/reason и логировать действия.,no
bans-delete,Баны-delete,Баны,Удаление,Блокировки пользователей. Удаление или необратимые действия. Для операционных ролей давать осторожно.,/admin/ban/index,critical,Модерация/support: давать по case/reason и логировать действия.,no
chief_under-all,Анкеты-all,Анкеты / назначения,Полный доступ к модулю,"Связь агент -> назначенная экспертная анкета. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/chief-under/index?userId=...,critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
chief_under-view,Анкеты-view,Анкеты / назначения,Просмотр,"Связь агент -> назначенная экспертная анкета. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/chief-under/index?userId=...,critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
chief_under-update,Анкеты-update,Анкеты / назначения,Изменение,Связь агент -> назначенная экспертная анкета. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,/admin/chief-under/index?userId=...,critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
chief_under-delete,Анкеты-delete,Анкеты / назначения,Удаление,Связь агент -> назначенная экспертная анкета. Удаление или необратимые действия. Для операционных ролей давать осторожно.,/admin/chief-under/index?userId=...,critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
support-all,Поддержка-all,Поддержка,Полный доступ к модулю,"Support tickets/cases и обработка обращений. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/support/index,high,Модерация/support: давать по case/reason и логировать действия.,no
support-view,Поддержка-view,Поддержка,Просмотр,"Support tickets/cases и обработка обращений. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/support/index,high,Модерация/support: давать по case/reason и логировать действия.,no
support-update,Поддержка-update,Поддержка,Изменение,Support tickets/cases и обработка обращений. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,/admin/support/index,high,Модерация/support: давать по case/reason и логировать действия.,no
support-delete,Поддержка-delete,Поддержка,Удаление,Support tickets/cases и обработка обращений. Удаление или необратимые действия. Для операционных ролей давать осторожно.,/admin/support/index,critical,Модерация/support: давать по case/reason и логировать действия.,no
info_block-all,Info block-all,Инфоблоки,Полный доступ к модулю,"Инфоблоки и контентные блоки сайта. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/info-block/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
info_block-view,Info block-view,Инфоблоки,Просмотр,"Инфоблоки и контентные блоки сайта. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/info-block/index,medium,Оценивать по роли и необходимости в paid chat lifecycle.,no
info_block-update,Info block-update,Инфоблоки,Изменение,Инфоблоки и контентные блоки сайта. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.,/admin/info-block/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
info_block-delete,Info block-delete,Инфоблоки,Удаление,Инфоблоки и контентные блоки сайта. Удаление или необратимые действия. Для операционных ролей давать осторожно.,/admin/info-block/index,critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
