locale,label,slug,file
es-ES,Español (España),community-guidelines,es-ES/community-guidelines.html
es-ES,Español (España),disclaimer,es-ES/disclaimer.html
es-ES,Español (España),safety,es-ES/safety.html
es-ES,Español (España),anti-scam,es-ES/anti-scam.html
es-ES,Español (España),notice-action-appeals,es-ES/notice-action-appeals.html
es-ES,Español (España),ip-complaints,es-ES/ip-complaints.html
es-ES,Español (España),legal-notice-contact,es-ES/legal-notice-contact.html
es-ES,Español (España),consultant-terms,es-ES/consultant-terms.html
es-ES,Español (España),code-of-ethics,es-ES/code-of-ethics.html
es-ES,Español (España),aml-kyc-policy,es-ES/aml-kyc-policy.html
es-ES,Español (España),earnings-disclaimer,es-ES/earnings-disclaimer.html
fr-FR,Français (France),legal,fr-FR/legal.html
fr-FR,Français (France),about,fr-FR/about.html
fr-FR,Français (France),terms-and-conditions,fr-FR/terms-and-conditions.html
fr-FR,Français (France),privacy-policy,fr-FR/privacy-policy.html
fr-FR,Français (France),cookie-policy,fr-FR/cookie-policy.html
fr-FR,Français (France),payment-subscription-terms,fr-FR/payment-subscription-terms.html
fr-FR,Français (France),refund-policy,fr-FR/refund-policy.html
fr-FR,Français (France),community-guidelines,fr-FR/community-guidelines.html
fr-FR,Français (France),disclaimer,fr-FR/disclaimer.html
fr-FR,Français (France),safety,fr-FR/safety.html
fr-FR,Français (France),anti-scam,fr-FR/anti-scam.html
fr-FR,Français (France),notice-action-appeals,fr-FR/notice-action-appeals.html
fr-FR,Français (France),ip-complaints,fr-FR/ip-complaints.html
fr-FR,Français (France),legal-notice-contact,fr-FR/legal-notice-contact.html
fr-FR,Français (France),consultant-terms,fr-FR/consultant-terms.html
fr-FR,Français (France),code-of-ethics,fr-FR/code-of-ethics.html
fr-FR,Français (France),aml-kyc-policy,fr-FR/aml-kyc-policy.html
fr-FR,Français (France),earnings-disclaimer,fr-FR/earnings-disclaimer.html
it-IT,Italiano,legal,it-IT/legal.html
it-IT,Italiano,about,it-IT/about.html
it-IT,Italiano,terms-and-conditions,it-IT/terms-and-conditions.html
it-IT,Italiano,privacy-policy,it-IT/privacy-policy.html
it-IT,Italiano,cookie-policy,it-IT/cookie-policy.html
it-IT,Italiano,payment-subscription-terms,it-IT/payment-subscription-terms.html
it-IT,Italiano,refund-policy,it-IT/refund-policy.html
it-IT,Italiano,community-guidelines,it-IT/community-guidelines.html
it-IT,Italiano,disclaimer,it-IT/disclaimer.html
it-IT,Italiano,safety,it-IT/safety.html
it-IT,Italiano,anti-scam,it-IT/anti-scam.html
it-IT,Italiano,notice-action-appeals,it-IT/notice-action-appeals.html
it-IT,Italiano,ip-complaints,it-IT/ip-complaints.html
it-IT,Italiano,legal-notice-contact,it-IT/legal-notice-contact.html
it-IT,Italiano,consultant-terms,it-IT/consultant-terms.html
it-IT,Italiano,code-of-ethics,it-IT/code-of-ethics.html
it-IT,Italiano,aml-kyc-policy,it-IT/aml-kyc-policy.html
it-IT,Italiano,earnings-disclaimer,it-IT/earnings-disclaimer.html
ru-RU,Русский,legal,ru-RU/legal.html
ru-RU,Русский,about,ru-RU/about.html
ru-RU,Русский,terms-and-conditions,ru-RU/terms-and-conditions.html
ru-RU,Русский,privacy-policy,ru-RU/privacy-policy.html
ru-RU,Русский,cookie-policy,ru-RU/cookie-policy.html
ru-RU,Русский,payment-subscription-terms,ru-RU/payment-subscription-terms.html
ru-RU,Русский,refund-policy,ru-RU/refund-policy.html
ru-RU,Русский,community-guidelines,ru-RU/community-guidelines.html
ru-RU,Русский,disclaimer,ru-RU/disclaimer.html
ru-RU,Русский,safety,ru-RU/safety.html
ru-RU,Русский,anti-scam,ru-RU/anti-scam.html
ru-RU,Русский,notice-action-appeals,ru-RU/notice-action-appeals.html
ru-RU,Русский,ip-complaints,ru-RU/ip-complaints.html
ru-RU,Русский,legal-notice-contact,ru-RU/legal-notice-contact.html
ru-RU,Русский,consultant-terms,ru-RU/consultant-terms.html
ru-RU,Русский,code-of-ethics,ru-RU/code-of-ethics.html
ru-RU,Русский,aml-kyc-policy,ru-RU/aml-kyc-policy.html
ru-RU,Русский,earnings-disclaimer,ru-RU/earnings-disclaimer.html
uk-UA,Українська,legal,uk-UA/legal.html
uk-UA,Українська,about,uk-UA/about.html
uk-UA,Українська,terms-and-conditions,uk-UA/terms-and-conditions.html
uk-UA,Українська,privacy-policy,uk-UA/privacy-policy.html
uk-UA,Українська,cookie-policy,uk-UA/cookie-policy.html
uk-UA,Українська,payment-subscription-terms,uk-UA/payment-subscription-terms.html
uk-UA,Українська,refund-policy,uk-UA/refund-policy.html
uk-UA,Українська,community-guidelines,uk-UA/community-guidelines.html
uk-UA,Українська,disclaimer,uk-UA/disclaimer.html
uk-UA,Українська,safety,uk-UA/safety.html
uk-UA,Українська,anti-scam,uk-UA/anti-scam.html
uk-UA,Українська,notice-action-appeals,uk-UA/notice-action-appeals.html
uk-UA,Українська,ip-complaints,uk-UA/ip-complaints.html
uk-UA,Українська,legal-notice-contact,uk-UA/legal-notice-contact.html
uk-UA,Українська,consultant-terms,uk-UA/consultant-terms.html
uk-UA,Українська,code-of-ethics,uk-UA/code-of-ethics.html
uk-UA,Українська,aml-kyc-policy,uk-UA/aml-kyc-policy.html
uk-UA,Українська,earnings-disclaimer,uk-UA/earnings-disclaimer.html
