"page","screenshot","status"
"docs/expert-training-agent-contour.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-expert-training-agent-contour-html.png","exists"
"docs/gaps.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-gaps-html.png","exists"
"docs/how-plan-works.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-how-plan-works-html.png","exists"
"docs/june-plan.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-june-plan-html.png","exists"
"docs/ksenia-standard.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-ksenia-standard-html.png","exists"
"docs/launch-readiness-architecture.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-launch-readiness-architecture-html.png","exists"
"docs/legal-content-package.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-legal-content-package-html.png","exists"
"docs/master-plan.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-master-plan-html.png","exists"
"docs/pm-blockers-resolution.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-pm-blockers-resolution-html.png","saved"
"docs/pm-trello-intake-readiness.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-pm-trello-intake-readiness-html.png","saved"
"docs/project-management-model.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-project-management-model-html.png","saved"
"docs/qa-standard.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-qa-standard-html.png","saved"
"docs/result-publication-standard.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-result-publication-standard-html.png","saved"
"docs/roadmap.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-roadmap-html.png","saved"
"docs/strategy-board.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-strategy-board-html.png","exists"
"docs/trello-standard.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-trello-standard-html.png","saved"
"docs/warmup-rescue.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-warmup-rescue-html.png","saved"
