"key","policy","value_type","scope","meaning","usage_badges","recommendation"
"locationName","blocked_inline","Geo noun/service","SEO guard","Location names require case, article, preposition, gender, and language-specific wording in RU/ES/IT/DE/PT. Replacing them inline can break grammar and SEO readability.","SEO: 2 / files 1","Не делать inline-переменной: риск падежей, артиклей, рода и SEO-естественности. Использовать page-specific текст или whole-block."
"locationType","blocked_inline","Geo noun/service","SEO guard","Country/city nouns and surrounding phrases differ by language and sentence position.","SEO: 1 / files 1","Не делать inline-переменной: риск падежей, артиклей, рода и SEO-естественности. Использовать page-specific текст или whole-block."
"loginUrl","not_translate_url","URL/Email","Config/Route","","Email: 2 / files 1","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"mainService","blocked_inline","Geo noun/service","SEO guard","Service and format names change form in natural sentences and in compound phrases. Use whole localized blocks instead.","SEO: 1 / files 1","Не делать inline-переменной: риск падежей, артиклей, рода и SEO-естественности. Использовать page-specific текст или whole-block."
"merchantDescriptor","not_translate_name","Name/Text from entity","Entity/Config","Дескриптор продавца в выписке/чеке","Email: 15 / files 11","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
"noPhotoAccess","control_flag","Boolean/control","Renderer","","Email: 1 / files 1","Не выводить пользователю как текст. Использовать только для условных блоков; текст блока переводится в самом шаблоне."
"orderId","not_translate_id","ID/Secret/Code","Backend payload","ID заказа/платежа","Email: 56 / files 33","Не переводить; подставлять как техническое значение, код или безопасный ID."
"paidAt","locale_format","Date/Money/Number","Formatter","Дата/время успешной оплаты","Email: 15 / files 11","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"paidGroupLink","not_translate_url","URL/Email","Config/Route","","Email: 1 / files 1","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"password","not_translate_id","ID/Secret/Code","Backend payload","","Email: 4 / files 2","Не переводить; подставлять как техническое значение, код или безопасный ID."
"paymentMethod","enum_i18n","Enum-label","Email/Payment","","Email: 1 / files 1","Способ оплаты должен быть label из справочника методов оплаты по языку."
"photoAccess","control_flag","Boolean/control","Renderer","","Email: 1 / files 1","Не выводить пользователю как текст. Использовать только для условных блоков; текст блока переводится в самом шаблоне."
"postUrl","not_translate_url","URL/Email","Config/Route","","Email: 1 / files 1","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"privacyUrl","not_translate_url","URL/Email","Config/Route","URL политики приватности","Email: 170 / files 79","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"privateGroupRequestLink","not_translate_url","URL/Email","Config/Route","","Email: 2 / files 2","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"privatePhotosLink","not_translate_url","URL/Email","Config/Route","","Email: 2 / files 2","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"processorRefundId","not_translate_id","ID/Secret/Code","Backend payload","ID возврата в платежном провайдере","Email: 15 / files 11","Не переводить; подставлять как техническое значение, код или безопасный ID."
"rating","locale_format","Date/Money/Number","Formatter","","Email: 1 / files 1","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"reason","enum_i18n","Enum-label","Email","","Email: 1 / files 1","Причина списания/действия должна быть кодом причины -> локализованным текстом."
"receiptUrl","not_translate_url","URL/Email","Config/Route","URL чека/квитанции","Email: 15 / files 11","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"refundAmount","locale_format","Date/Money/Number","Formatter","Сумма возврата","Email: 15 / files 11","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"refundEta","locale_phrase","Короткая фраза","Email/Payment","Ожидаемый срок поступления возврата","Email: 15 / files 11","ETA возврата вроде “3-10 business days” должен быть локализованной фразой."
"refundPolicyUrl","not_translate_url","URL/Email","Config/Route","URL правил возврата","Email: 176 / files 79","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"renewUrl","not_translate_url","URL/Email","Config/Route","","Email: 2 / files 1","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"resetExpiresAt","locale_format","Date/Money/Number","Formatter","Дата/время истечения ссылки сброса пароля","Email: 29 / files 17","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"resetUrl","not_translate_url","URL/Email","Config/Route","URL сброса пароля","Email: 15 / files 11","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"reviewText","not_translate_name","Name/Text from entity","Entity/Config","","Email: 1 / files 1","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
"reviewUrl","not_translate_url","URL/Email","Config/Route","URL формы отзыва о консультации","Email: 15 / files 11","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"securityChangedAt","locale_format","Date/Money/Number","Formatter","Дата/время изменения настройки безопасности","Email: 15 / files 11","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"senderAvatarUrl","not_translate_url","URL/Email","Config/Route","","Email: 14 / files 2","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"senderName","not_translate_name","Name/Text from entity","Entity/Config","","Email: 14 / files 2","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
"senderProfileUrl","not_translate_url","URL/Email","Config/Route","","Email: 14 / files 2","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"serviceName","blocked_inline","Geo noun/service","SEO guard","Service and format names change form in natural sentences and in compound phrases. Use whole localized blocks instead.","SEO: 1 / files 1","Не делать inline-переменной: риск падежей, артиклей, рода и SEO-естественности. Использовать page-specific текст или whole-block."
"showPassword","not_translate_id","ID/Secret/Code","Backend payload","","Email: 1 / files 1","Не переводить; подставлять как техническое значение, код или безопасный ID."
"siteMetaDescription","translate","Короткий текст","SEO","Global default meta description. Not used for page-specific geo SEO text replacements.","SEO: 1 / files 1","Глобальный meta description по языкам, не заменяет page-specific SEO description."
"siteMetaKeywords","translate","Короткий текст","SEO","Global default meta keywords. Not used for page-specific geo SEO text replacements.","SEO: 1 / files 1","Глобальные meta keywords по языкам, если используются в настройках сайта."
"siteName","not_translate_name","Name/Text from entity","Entity/Config","Название сайта/бренда","SEO: 15278 / files 2371; Email: 373 / files 100","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
"siteUrl","not_translate_url","URL/Email","Config/Route","Базовый URL сайта/личного кабинета","SEO: 1271 / files 1112; Email: 146 / files 47","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"subject","not_translate_name","Name/Text from entity","Entity/Config","","Email: 15 / files 2","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
"supportCaseId","not_translate_id","ID/Secret/Code","Backend payload","ID обращения в поддержку","Email: 65 / files 37","Не переводить; подставлять как техническое значение, код или безопасный ID."
"supportCaseStatus","enum_i18n","Enum-label","Email/Support","Пользовательский статус обращения","Email: 15 / files 11","Публичный статус обращения должен выводиться из словаря статусов по языку, не внутренний код."
"supportCaseUrl","not_translate_url","URL/Email","Config/Route","URL конкретного обращения в поддержку","Email: 51 / files 27","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"supportEmail","not_translate_url","URL/Email","Config/Route","Email поддержки","Email: 150 / files 51","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"supportUpdatedAt","locale_format","Date/Money/Number","Formatter","Дата/время обновления обращения","Email: 24 / files 15","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"supportUrl","not_translate_url","URL/Email","Config/Route","URL раздела поддержки","Email: 52 / files 27","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"termsUrl","not_translate_url","URL/Email","Config/Route","URL пользовательских условий","Email: 170 / files 79","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"transactionId","not_translate_id","ID/Secret/Code","Backend payload","","Email: 2 / files 1","Не переводить; подставлять как техническое значение, код или безопасный ID."
"unsubscribeUrl","not_translate_url","URL/Email","Config/Route","URL отписки от marketing/lifecycle писем","Email: 50 / files 23","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"updatedAnswerEta","locale_phrase","Короткая фраза","Email/Chat","Обновленный прогноз ответа при задержке SLA","Email: 15 / files 11","Обновленный ETA ответа должен быть локализованной фразой, рассчитанной backend."
"upgradeLink","not_translate_url","URL/Email","Config/Route","Ссылка/HTML-якорь на upgrade/premium действие в runtime-уведомлениях.","Notifications: 8 / files 2","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"userName","not_translate_name","Name/Text from entity","Entity/Config","Имя пользователя для персонализации","Email: 199 / files 85","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
"whatWeOfferBlock","translate","HTML-блок","SEO","Whole localized HTML block only. Useful if the CMS renderer can output a ready language-specific block without inserting words into a sentence.","SEO: 6001 / files 2065","Переводимый стандартный SEO-блок: хранить EN master + переводы, разрешить HTML только whitelist."
