"sort","key","name","type_id","type_label","count_user_settings","subject_email","event_name","condition_id","delay","source_trigger","needs_new_backend_event","when_to_send","why_send","settings_reason","backend_gate","import_decision","test_scenario","required_backend_variables"
"11","support_ticket_opened","Обращение в поддержку создано","2","behavior","0","Обращение в поддержку создано","support.ticket.opened","0","0","support_ticket_opened","True","Сразу после создания обращения пользователем или оператором от имени пользователя.","Фиксирует факт обращения и снижает повторные обращения: пользователь знает номер и дальнейший путь.","Поведенческое сервисное письмо, delay 0, condition 0, без маркетингового opt-out.","Support case создан; есть supportCaseId; обращение доступно пользователю; письмо не дублируется при каждом комментарии.","Нужен backend event support.ticket.opened или привязка к текущей support-модели.","Создать тестовое обращение; проверить номер, ссылку и отсутствие отправки при внутренней операторской заметке.","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseUrl, supportEmail, termsUrl, userName"
"12","support_reply","Поддержка ответила","2","behavior","0","Поддержка ответила по обращению #{{supportCaseId}}","support.message.received","0","0","support_reply_created","False","Сразу после публичного ответа поддержки пользователю.","Возвращает пользователя к решению вопроса и уменьшает пропущенные ответы поддержки.","Поведенческое сервисное письмо, delay 0, condition 0.","Создан публичный ответ поддержки; есть supportCaseId; сообщение не является внутренней заметкой.","Event есть в dropdown, но нужно подтвердить реальный trigger и переменные supportCaseId/supportUrl.","Ответить в тестовом тикете публичным сообщением; проверить письмо и ссылку на обращение.","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseStatus, supportCaseUrl, supportEmail, supportUpdatedAt, termsUrl, userName"
"13","refund_confirmed","Возврат подтвержден","2","behavior","0","Возврат по заказу #{{orderId}} подтверждён","payment.refund","0","0","refund_confirmed","False","После финального подтверждения возврата платежным или финансовым контуром.","Сервисное финансовое письмо: снижает тревогу по деньгам и фиксирует ожидания по срокам.","Поведенческое/сервисное финансовое письмо, delay 0, condition 0, без маркетингового opt-out.","Refund имеет confirmed/processed status; сумма и orderId известны; событие дедуплицировано по refundId.","Event payment.refund есть в dropdown, но нужно различить confirmed и update.","Смоделировать refund confirmed; проверить сумму, orderId, refundEta и отсутствие дубля при повторном webhook.","currency, legalMerchantName, orderId, privacyUrl, processorRefundId, refundAmount, refundEta, refundPolicyUrl, siteName, siteUrl, supportCaseUrl, supportEmail, termsUrl, userName"
"14","refund_case_update","Статус возврата обновлен","2","behavior","0","Статус возврата обновлён","payment.refund","0","0","refund_case_updated","False","Когда по возврату появляется значимое изменение статуса, но это еще не финальное подтверждение.","Держит пользователя в курсе спорного/длинного финансового процесса.","Поведенческое финансовое письмо, delay 0, condition 0.","Статус refund case изменился на пользовательски значимый; не отправлять на технические/внутренние статусы.","Текущий event payment.refund общий; желательно status/context или отдельный event для update.","Перевести refund case между пользовательскими статусами; проверить, что письмо не уходит на внутренние изменения.","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseUrl, supportUpdatedAt, termsUrl, userName"
"15","same_advisor_followup_offer","Продолжить с тем же экспертом","3","marketing","1","Можно продолжить чат с {{advisorName}}","advisor.followup.offer","0","72","same_advisor_followup_allowed","True","Через 72 часа после завершения консультации, если повторная консультация разрешена и уместна.","Мягкое коммерческое продолжение: пользователь может вернуться к знакомому эксперту без поиска заново.","Маркетинговое письмо: type_id 3, count_user_settings 1, delay 72, condition 0.","Чат завершен; эксперт доступен; нет открытого активного чата; пользователь не отписан; тематика не запрещает follow-up.","Нужен новый backend event advisor.followup.offer и бизнес-правила допустимого follow-up.","Закрыть тестовый чат; проверить отправку через 72 часа только при разрешенном follow-up и активных user settings.","advisorName, chatUrl, emailPreferencesUrl, followupOfferUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName"
"16","review_request","Попросить оценку консультации","3","marketing","1","Оцените опыт консультации в чате","review.left","0","24","review_request_allowed","False","Через 24 часа после завершения консультации, если отзыв еще не оставлен.","Собирает обратную связь и помогает контролировать качество экспертов.","Маркетингово-поведенческое письмо: type_id 3, count_user_settings 1, event review.left сейчас спорный, delay 24.","Консультация завершена; review еще не оставлен; нет активной жалобы/refund по консультации; пользователь не отписан.","Event review.left в dropdown звучит как 'отзыв оставлен', поэтому для request лучше отдельный review.request или строгая проверка текущей логики.","Завершить чат без отзыва; проверить письмо через delay. Затем оставить отзыв до delay и убедиться, что письмо не ушло.","emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, reviewUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName"
"17","d2_chat_reflection","Чат сохранен, можно вернуться","3","marketing","1","Ваш чат с экспертом сохранён","message.chat_saved","0","48","d2_chat_reflection_allowed","True","Через 48 часов после завершения/сохранения чата.","Ненавязчиво возвращает пользователя к ценности консультации и истории ответа.","Маркетингово-поведенческое письмо: type_id 3, count_user_settings 1, delay 48, condition 0.","Чат завершен и доступен в кабинете; нет удаления/возврата/спора; пользователь не отписан.","Нужен backend event message.chat_saved или отдельный lifecycle event.","Закрыть чат и дождаться/смоделировать 48 часов; проверить ссылку на сохраненный чат и respect user settings.","chatUrl, emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName"
"18","safety_notice","Важная информация о поддержке","1","service","0","Важная информация о поддержке","support.safety_notice","0","0","safety_flow_notice","True","По событию safety/support flow: предупреждение, важная инструкция, ограничение или безопасный канал связи.","Сервисная защита пользователя и компании: сообщает важные правила без маркетинга.","Сервисное письмо, type_id 1, count_user_settings 0, delay 0, condition 0.","Есть подтвержденное safety-событие; текст соответствует юридически утвержденному сценарию; не раскрывает чувствительные подробности.","Нужен backend event support.safety_notice и юридическое согласование текста/триггеров.","Смоделировать safety flow; проверить, что письмо уходит только адресату и не содержит лишних деталей.","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName"
"19","minor_or_age_restriction_notice","Ограничение доступа по возрасту/правилам","1","service","0","Доступ к сервису ограничен","user.age_restricted","0","0","minor_or_age_restricted","True","Сразу после решения ограничить доступ к сервису по возрасту или правилам платформы.","Юридически аккуратно объясняет ограничение и дает путь в поддержку без спорных деталей.","Сервисное legal-письмо, type_id 1, count_user_settings 0, delay 0, condition 0.","Решение об ограничении принято надежным процессом; пользовательский аккаунт/сессия ограничены; есть ссылка поддержки.","Нужен backend event user.age_restricted и юридическое подтверждение формулировок.","На тестовом аккаунте применить ограничение; проверить письмо, поддержку и отсутствие деталей, которые нельзя раскрывать.","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName"

