type,slug,name,country,ok,directory_exists,expected_files,existing_files,ok_locales,missing_files,issue_files
city,manchester,Manchester,United Kingdom,1,1,12,12,6,,
city,london,London,United Kingdom,1,1,12,12,6,,
city,new-york-city,New York City,United States,1,1,12,12,6,,
city,atlanta,Atlanta,United States,1,1,12,12,6,,
city,houston,Houston,United States,1,1,12,12,6,,
city,dallas,Dallas,United States,1,1,12,12,6,,
city,austin,Austin,United States,1,1,12,12,6,,
city,las-vegas,Las Vegas,United States,1,1,12,12,6,,
city,san-diego,San Diego,United States,1,1,12,12,6,,
city,seattle,Seattle,United States,1,1,12,12,6,,
city,boston,Boston,United States,1,1,12,12,6,,
city,chicago,Chicago,United States,1,1,12,12,6,,
city,san-francisco,San Francisco,United States,1,1,12,12,6,,
city,miami,Miami,United States,1,1,12,12,6,,
city,los-angeles,Los Angeles,United States,1,1,12,12,6,,
city,new-york,New York,United States,1,1,12,12,6,,
city,madrid,Madrid,Spain,1,1,12,12,6,,
city,perth,Perth,Australia,1,1,12,12,6,,
city,brisbane,Brisbane,Australia,1,1,12,12,6,,
city,melbourne,Melbourne,Australia,1,1,12,12,6,,
city,sydney,Sydney,Australia,1,1,12,12,6,,
city,ottawa,Ottawa,Canada,1,1,12,12,6,,
city,calgary,Calgary,Canada,1,1,12,12,6,,
city,montreal,Montreal,Canada,1,1,12,12,6,,
city,vancouver,Vancouver,Canada,1,1,12,12,6,,
city,toronto,Toronto,Canada,1,1,12,12,6,,
city,hong-kong,Hong Kong,Hong Kong,1,1,12,12,6,,
city,singapore,Singapore,Singapore,1,1,12,12,6,,
city,monte-carlo,Monte Carlo,Monaco,1,1,12,12,6,,
city,abu-dhabi,Abu Dhabi,United Arab Emirates,1,1,12,12,6,,
city,dubai,Dubai,United Arab Emirates,1,1,12,12,6,,
city,basel,Basel,Switzerland,1,1,12,12,6,,
city,lugano,Lugano,Switzerland,1,1,12,12,6,,
city,geneva,Geneva,Switzerland,1,1,12,12,6,,
city,zurich,Zurich,Switzerland,1,1,12,12,6,,
city,bordeaux,Bordeaux,France,1,1,12,12,6,,
city,marseille,Marseille,France,1,1,12,12,6,,
city,lyon,Lyon,France,1,1,12,12,6,,
city,cannes,Cannes,France,1,1,12,12,6,,
city,nice,Nice,France,1,1,12,12,6,,
city,paris,Paris,France,1,1,12,12,6,,
city,dusseldorf,Dusseldorf,Germany,1,1,12,12,6,,
city,stuttgart,Stuttgart,Germany,1,1,12,12,6,,
city,cologne,Cologne,Germany,1,1,12,12,6,,
city,hamburg,Hamburg,Germany,1,1,12,12,6,,
city,frankfurt,Frankfurt,Germany,1,1,12,12,6,,
city,brest,Brest,Belarus,1,1,12,12,6,,
city,minsk,Minsk,Belarus,1,1,12,12,6,,
city,kharkiv,Kharkiv,Ukraine,1,1,12,12,6,,
city,dnipro,Dnipro,Ukraine,1,1,12,12,6,,
city,lviv,Lviv,Ukraine,1,1,12,12,6,,
city,odesa,Odesa,Ukraine,1,1,12,12,6,,
city,kyiv,Kyiv,Ukraine,1,1,12,12,6,,
city,chelyabinsk,Chelyabinsk,Russia,1,1,12,12,6,,
city,ufa,Ufa,Russia,1,1,12,12,6,,
city,samara,Samara,Russia,1,1,12,12,6,,
city,novosibirsk,Novosibirsk,Russia,1,1,12,12,6,,
city,yekaterinburg,Yekaterinburg,Russia,1,1,12,12,6,,
city,rostov-on-don,Rostov-on-Don,Russia,1,1,12,12,6,,
city,krasnodar,Krasnodar,Russia,1,1,12,12,6,,
city,sochi,Sochi,Russia,1,1,12,12,6,,
city,kazan,Kazan,Russia,1,1,12,12,6,,
city,saint-petersburg,Saint Petersburg,Russia,1,1,12,12,6,,
city,moscow,Moscow,Russia,1,1,12,12,6,,
city,bologna,Bologna,Italy,1,1,12,12,6,,
city,venice,Venice,Italy,1,1,12,12,6,,
city,naples,Naples,Italy,1,1,12,12,6,,
city,florence,Florence,Italy,1,1,12,12,6,,
city,rome,Rome,Italy,1,1,12,12,6,,
city,milan,Milan,Italy,1,1,12,12,6,,
city,seville,Seville,Spain,1,1,12,12,6,,
city,alicante,Alicante,Spain,1,1,12,12,6,,
city,malaga,Malaga,Spain,1,1,12,12,6,,
city,marbella,Marbella,Spain,1,1,12,12,6,,
city,valencia,Valencia,Spain,1,1,12,12,6,,
city,barcelona,Barcelona,Spain,1,1,12,12,6,,
city,seoul,Seoul,South Korea,1,1,12,12,6,,
city,osaka,Osaka,Japan,1,1,12,12,6,,
city,tokyo,Tokyo,Japan,1,1,12,12,6,,
city,santiago,Santiago,Chile,1,1,12,12,6,,
city,bogota,Bogota,Colombia,1,1,12,12,6,,
city,medellin,Medellin,Colombia,1,1,12,12,6,,
city,buenos-aires,Buenos Aires,Argentina,1,1,12,12,6,,
city,rio-de-janeiro,Rio de Janeiro,Brazil,1,1,12,12,6,,
city,sao-paulo,Sao Paulo,Brazil,1,1,12,12,6,,
city,cancun,Cancun,Mexico,1,1,12,12,6,,
city,mexico-city,Mexico City,Mexico,1,1,12,12,6,,
city,bangalore,Bangalore,India,1,1,12,12,6,,
city,delhi,Delhi,India,1,1,12,12,6,,
city,mumbai,Mumbai,India,1,1,12,12,6,,
city,hanoi,Hanoi,Vietnam,1,1,12,12,6,,
city,ho-chi-minh-city,Ho Chi Minh City,Vietnam,1,1,12,12,6,,
city,jakarta,Jakarta,Indonesia,1,1,12,12,6,,
city,bali,Bali,Indonesia,1,1,12,12,6,,
city,chiang-mai,Chiang Mai,Thailand,1,1,12,12,6,,
city,phuket,Phuket,Thailand,1,1,12,12,6,,
city,bangkok,Bangkok,Thailand,1,1,12,12,6,,
city,baku,Baku,Azerbaijan,1,1,12,12,6,,
city,yerevan,Yerevan,Armenia,1,1,12,12,6,,
city,tbilisi,Tbilisi,Georgia,1,1,12,12,6,,
city,sarajevo,Sarajevo,Bosnia and Herzegovina,1,1,12,12,6,,
city,belgrade,Belgrade,Serbia,1,1,12,12,6,,
city,split,Split,Croatia,1,1,12,12,6,,
city,budva,Budva,Montenegro,1,1,12,12,6,,
city,tallinn,Tallinn,Estonia,1,1,12,12,6,,
city,vilnius,Vilnius,Lithuania,1,1,12,12,6,,
city,riga,Riga,Latvia,1,1,12,12,6,,
city,brno,Brno,Czech Republic,1,1,12,12,6,,
city,prague,Prague,Czech Republic,1,1,12,12,6,,
city,gdansk,Gdansk,Poland,1,1,12,12,6,,
city,wroclaw,Wroclaw,Poland,1,1,12,12,6,,
city,krakow,Krakow,Poland,1,1,12,12,6,,
city,warsaw,Warsaw,Poland,1,1,12,12,6,,
city,grodno,Grodno,Belarus,1,1,12,12,6,,
